,CAR_ID,VEHICLETYPE,YEAR,GEARBOX,HP,MODEL,KILOMETER,FUELTYPE,PRICE
19,0,bus,2004,manual,102,A-Class,150000,petrol,1850
30,1,limousine,1995,automatic,113,E-Class,150000,diesel,3300
34,2,limousine,2004,automatic,122,E-Class,150000,diesel,3500
39,3,bus,1984,manual,70,Other,150000,diesel,1500
49,4,bus,2012,automatic,109,B-Class,150000,diesel,13500
74,5,kombi,2008,manual,156,C-Class,150000,petrol,7999
77,6,andere,2003,manual,82,Vito,150000,diesel,1400
79,7,bus,2006,manual,109,Sprinter,150000,diesel,5000
80,8,limousine,2010,automatic,204,E-Class,80000,diesel,20300
91,9,limousine,1995,manual,113,E-Class,150000,diesel,1
100,10,kleinwagen,1999,automatic,102,A-Class,125000,petrol,1700
106,11,kombi,1999,manual,125,C-Class,150000,diesel,900
125,12,limousine,2003,manual,120,SLK,150000,petrol,7000
132,13,kombi,2001,automatic,170,E-Class,150000,diesel,2990
138,14,limousine,2007,automatic,170,C-Class,125000,diesel,14499
148,15,suv,2014,automatic,204,GLK,40000,diesel,41900
154,16,limousine,2000,manual,160,C-Class,150000,petrol,2300
161,17,limousine,2003,manual,170,C-Class,125000,diesel,6890
164,18,kleinwagen,2002,manual,140,A-Class,150000,,1499
180,19,bus,2006,automatic,150,Vito,150000,diesel,10500
183,20,kombi,2000,automatic,197,E-Class,150000,diesel,2390
235,21,kombi,2004,manual,122,C-Class,150000,diesel,5499
247,22,bus,2000,manual,130,Sprinter,150000,diesel,3350
269,23,limousine,1999,manual,0,C-Class,5000,,1450
277,24,coupe,2014,automatic,265,Other,80000,diesel,48000
281,25,suv,2009,automatic,224,M-Class,150000,diesel,27500
287,26,kombi,2001,automatic,150,C-Class,150000,diesel,2500
317,27,limousine,2002,manual,150,E-Class,150000,diesel,7150
337,28,kombi,2008,manual,170,Other,150000,diesel,11700
348,29,kombi,1999,automatic,125,C-Class,150000,diesel,1200
390,30,suv,2007,automatic,510,M-Class,150000,lpg,21500
402,31,limousine,2013,manual,122,A-Class,40000,petrol,17500
411,32,limousine,2010,manual,95,A-Class,70000,petrol,8450
424,33,limousine,2004,automatic,82,A-Class,125000,petrol,3850
433,34,limousine,1992,automatic,136,E-Class,150000,petrol,1490
442,35,limousine,2001,automatic,82,A-Class,70000,petrol,2990
452,36,kombi,2004,automatic,143,C-Class,150000,petrol,7600
465,37,limousine,2009,manual,95,A-Class,70000,petrol,6700
478,38,kombi,2004,automatic,150,E-Class,150000,diesel,8100
485,39,coupe,2009,automatic,292,E-Class,125000,petrol,24900
495,40,kombi,2008,manual,136,C-Class,150000,diesel,9600
504,41,bus,2009,manual,150,Viano,90000,diesel,19900
505,42,limousine,2007,automatic,320,S-Class,150000,diesel,15200
520,43,kombi,2011,automatic,156,C-Class,30000,petrol,8000
533,44,,2017,manual,95,A-Class,125000,petrol,4400
540,45,bus,2007,automatic,204,Viano,150000,diesel,13500
546,46,cabrio,1981,manual,185,SL,150000,petrol,36500
553,47,limousine,1991,manual,97,Other,150000,petrol,1500
569,48,bus,2000,manual,122,Vito,150000,diesel,5000
576,49,kombi,2000,automatic,143,E-Class,150000,diesel,3500
578,50,limousine,2008,manual,136,C-Class,150000,diesel,9499
586,51,kombi,2001,automatic,163,C-Class,125000,petrol,5200
602,52,kombi,2005,automatic,190,E-Class,150000,diesel,8850
621,53,kombi,1997,manual,122,C-Class,150000,petrol,750
628,54,suv,2009,automatic,224,GLK,90000,diesel,21500
640,55,limousine,2012,automatic,457,C-Class,60000,petrol,41900
641,56,coupe,2002,automatic,197,CLK,150000,petrol,5990
657,57,limousine,1969,manual,140,S-Class,80000,petrol,12000
666,58,coupe,2003,manual,143,C-Class,150000,petrol,3700
670,59,bus,2006,manual,95,B-Class,90000,petrol,7500
681,60,limousine,2002,automatic,306,S-Class,90000,petrol,12999
682,61,cabrio,1996,automatic,231,SL,50000,petrol,24800
695,62,limousine,2011,manual,95,A-Class,60000,petrol,11850
698,63,kombi,2004,manual,150,,150000,diesel,5900
713,64,limousine,2002,automatic,116,E-Class,30000,diesel,2990
714,65,limousine,2010,manual,170,C-Class,90000,diesel,16000
720,66,limousine,2003,automatic,102,A-Class,150000,petrol,1699
722,67,limousine,2000,automatic,122,C-Class,150000,petrol,2999
742,68,cabrio,2001,automatic,163,CLK,40000,petrol,12790
743,69,limousine,1995,manual,122,C-Class,150000,petrol,600
749,70,limousine,2013,automatic,170,C-Class,100000,diesel,21999
777,71,bus,2007,manual,95,B-Class,150000,petrol,5300
802,72,limousine,2010,manual,156,C-Class,100000,petrol,13499
809,73,kombi,2006,automatic,170,E-Class,150000,diesel,3500
831,74,coupe,2006,manual,122,C-Class,125000,petrol,7600
841,75,limousine,1989,automatic,132,E-Class,150000,petrol,3299
847,76,limousine,1998,automatic,204,E-Class,150000,petrol,2000
866,77,limousine,2000,manual,163,C-Class,100000,petrol,4200
870,78,limousine,1998,manual,170,E-Class,150000,petrol,2599
